set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
60244-1,Police Helicopter Transport,2020,61,317,4,39.99,3,4.6,Oct-21,37.6,37.29,
60248-1,Fire Helicopter Response,2020,58,93,3,17.99,0,4.4,Nov-21,22.74,22.49,
60252-1,Construction Bulldozer,2020,56,126,2,17.99,0,4.5,Nov-21,21,19.74,
60254-1,Race Boat Transporter,2020,52,239,2,24.99,0,4.6,Nov-21,32.19,35.27,
60258-1,Tuning Workshop,2020,52,897,7,89.99,6,4.6,Nov-21,86.17,95.37,
60260-1,Air Race,2020,53,140,3,24.99,0,4.6,Dec-21,32.65,42.22,
60266-1,Ocean Exploration Ship,2020,52,747,8,124.99,0,4.7,Mar-22,147.14,178.73,
60271-1,Main Square,2020,52,1517,14,169.99,13,4.6,Jan-22,177.16,151.76,
60273-1,Elite Police Driller Chase,2020,61,179,2,17.99,1,4.6,Nov-21,34.4,28.76,
60274-1,Elite Police Lighthouse Arrest,2020,61,189,2,17.99,0,4.6,Nov-21,23.22,22.21,
70428-1,Jack's Beach Buggy,2020,676,171,3,17.99,2,4.6,Aug-21,19.08,20.32,
70429-1,El Fuego's Stunt Plane,2020,676,303,3,24.99,2,4.6,Aug-21,34.9,36.94,
70430-1,Newbury Subway,2020,676,357,3,24.99,2,4.6,Aug-21,29.22,25.99,
70431-1,The Lighthouse of Darkness,2020,676,549,5,44.99,3,4.6,Aug-21,46.84,59.03,
70432-1,Haunted Fairground,2020,676,475,5,44.99,4,4.6,Aug-21,52.72,53.44,
70434-1,Supernatural Race Car,2020,676,244,3,24.99,1,4.6,Aug-21,27.1,32.93,
70435-1,Newbury Abandoned Prison,2020,676,401,4,34.99,3,4.7,Aug-21,47.45,61.69,
70436-1,Phantom Fire Truck 3000,2020,676,760,5,59.99,4,4.8,Mar-21,62.92,74.27,
70437-1,Mystery Castle,2020,676,1035,6,89.99,2,4.9,Aug-21,144.23,164.85,
71361-11,Character Pack Series 1 - Complete Set,2020,690,146,0,44.99,0,4.8,Apr-21,102.44,126.07,
71363-1,Desert Pokey Expansion Set,2020,690,181,0,17.99,0,4.6,Dec-21,15.97,23.44,
71364-1,Whomp's Lava Trouble Expansion Set,2020,690,133,0,17.99,0,4.6,Nov-21,16.65,17.71,
71365-1,Piranha Plant Power Slide Expansion Set,2020,690,217,0,24.99,0,4.5,Dec-21,27.74,32.91,
71366-1,Boomer Bill Barrage Expansion Set,2020,690,132,0,24.99,0,4.5,Dec-21,23.16,21.61,
71369-1,Bowser's Castle Boss Battle Expansion Set,2020,690,1010,0,89.99,0,4.6,Nov-21,92.94,117.33,
71376-1,Thwomp Drop Expansion Set,2020,690,393,0,34.99,0,4.6,Nov-21,42.09,46.4,
71377-1,King Boo and the Haunted Yard Expansion Set,2020,690,431,0,44.99,0,4.6,Jan-22,48.69,52.02,
71699-1,Thunder Raider,2020,435,576,1,44.99,1,4.8,Dec-20,67.01,86.26,
71701-1,Kai's Fire Dragon,2020,435,81,2,17.99,0,4.7,Dec-21,18.23,18.27,
71702-1,Golden Mech,2020,435,489,4,34.99,3,4.9,Dec-20,50.56,71.15,
71704-1,Kai Fighter,2020,435,513,4,34.99,1,4.7,Nov-21,43.14,46.7,
71707-1,Kai's Mech Jet,2020,435,226,2,17.99,0,4.6,Sep-21,19.6,24.58,
71708-1,Gamer's Market,2020,435,228,9,29.99,6,4.9,Oct-21,33.43,31.87,
71717-1,Journey to the Skull Dungeons,2020,435,401,4,24.99,0,4.6,Oct-21,29.14,32.53,
71720-1,Fire Stone Mech,2020,435,977,5,64.99,1,4.8,Oct-21,60.56,66.39,
75265-1,T-16 Skyhopper vs. Bantha Microfighters,2020,158,198,2,17.99,1,4.8,Jan-21,18.19,20.61,
75267-1,Mandalorian Battle Pack,2020,158,107,4,12.99,3,4.6,Mar-22,17.73,18.83,
75269-1,Duel on Mustafar,2020,158,208,2,19.99,1,4.7,Jun-21,20.49,27.78,
75270-1,Obi-Wan's Hut,2020,158,200,4,24.99,1,4.6,Nov-21,27.05,28.4,
75271-1,Luke Skywalker's Landspeeder,2020,158,236,2,24.99,1,4.7,Jan-22,27.75,32.21,
75272-1,Sith TIE Fighter,2020,158,470,3,64.99,1,4.5,Nov-21,68.5,66.01,
75273-1,Poe Dameron's X-wing Fighter,2020,158,761,4,89.99,3,4.7,Nov-21,81.59,85.92,
75274-1,TIE Fighter Pilot,2020,158,724,0,54.99,0,4.8,Jan-22,89.59,172.27,
75275-1,A-Wing Starfighter,2020,171,1672,1,179,1,4.8,Nov-21,210.6,246.16,
75276-1,Stormtrooper,2020,158,647,0,54.99,0,4.8,Mar-22,62.31,123.98,
75279-1,Star Wars Advent Calendar 2020,2020,209,311,8,24.99,5,4.9,Nov-21,39.62,39.71,
75281-1,Anakin's Jedi Interceptor,2020,158,248,2,24.99,1,4.7,Dec-21,34.83,43.44,
75284-1,Knights of Ren Transport Ship,2020,158,595,3,64.99,2,4.6,Dec-21,59.37,62.3,
75291-1,Death Star Final Duel,2020,158,775,5,89.99,1,4.9,Nov-21,89.98,107.46,
75293-1,Resistance I-TS Transport,2020,158,932,4,89.99,0,4.6,Feb-22,116.91,103.92,
75939-1,Dr. Wu's Lab: Baby Dinosaurs Breakout,2020,602,164,2,17.99,0,4.7,Jan-22,22.74,20.9,
75940-1,Gallimimus and Pteranodon Breakout,2020,602,392,3,54.99,0,4.6,Mar-22,41.78,45.98,
75941-1,Indominus rex vs. Ankylosaurus,2020,602,537,5,89.99,4,4.7,Dec-21,113.2,117.13,
75966-1,Hogwarts Room of Requirement,2020,246,194,4,17.99,0,4.8,Mar-22,22,21.95,
75967-1,Forbidden Forest: Umbridge's Encounter,2020,246,254,5,24.99,3,4.7,Jan-22,26.6,26.71,
75981-1,Harry Potter Advent Calendar 2020,2020,710,335,6,24.99,3,4.6,Mar-21,30.52,30.77,
76142-1,Avengers Speeder Bike Attack,2020,702,251,3,19.99,2,4.7,Jan-21,18.98,25.1,
76143-1,Avengers Truck Take-down,2020,702,486,4,34.99,3,4.6,Oct-21,31.38,34.22,
76147-1,Vulture's Trucker Robbery,2020,706,93,3,19.99,2,4.7,Apr-21,19.05,24.43,
76148-1,Spider-Man vs. Doc Ock,2020,706,242,3,19.99,3,4.9,Apr-21,23.52,29.77,
76149-1,The Menace of Mysterio,2020,706,163,3,29.99,1,4.7,Apr-21,27.42,31.41,
76150-1,Spiderjet vs. Venom Mech,2020,706,383,3,34.99,1,4.9,Oct-21,34.59,41.27,
